,Location,Latitude,Longitude
0,Abington,42.12,-70.96
1,Acushnet Center,41.69,-70.91
2,Adams,42.63,-73.12
3,Agawam Town city,42.07,-72.65
4,Amesbury Town city,42.85,-70.94
5,Amherst Center,42.38,-72.52
6,Andover,42.66,-71.14
7,Arlington,42.42,-71.16
8,Athol,42.59,-72.23
9,Attleboro city,41.93,-71.29
10,Ayer,42.56,-71.58
11,Baldwinville,42.6,-72.08
12,Barnstable Town city,41.67,-70.36
13,Barre,42.42,-72.11
14,Belchertown,42.27,-72.41
15,Bellingham,42.09,-71.48
16,Belmont,42.4,-71.18
17,Beverly city,42.56,-70.84
18,Blandford,42.18,-72.92
19,Bliss Corner,41.61,-70.94
20,Boston city,42.33,-71.02
21,Bourne,41.73,-70.62
22,Boxford,42.67,-70.98
23,Braintree Town city,42.2,-71
24,Brewster,41.76,-70.08
25,Bridgewater,41.99,-70.97
26,Brockton city,42.08,-71.02
27,Brookfield,42.22,-72.1
28,Brookline,42.32,-71.14
29,Burlington,42.5,-71.2
30,Buzzards Bay,41.76,-70.61
31,Cambridge city,42.38,-71.12
32,Chatham,41.68,-69.96
33,Chelsea city,42.4,-71.03
34,Cheshire,42.56,-73.16
35,Chester,42.28,-72.98
36,Chicopee city,42.18,-72.57
37,Clinton,42.42,-71.69
38,Cochituate,42.33,-71.36
39,Cordaville,42.27,-71.52
40,Danvers,42.57,-70.95
41,Dedham,42.25,-71.18
42,Deerfield,42.55,-72.6
43,Dennis,41.73,-70.2
44,Dennis Port,41.67,-70.14
45,Devens,42.54,-71.61
46,Dover,42.25,-71.27
47,Duxbury,42.04,-70.67
48,East Brookfield,42.23,-72.05
49,East Dennis,41.74,-70.16
50,East Douglas,42.08,-71.71
51,East Falmouth,41.57,-70.56
52,East Harwich,41.71,-70.03
53,East Pepperell,42.67,-71.56
54,East Sandwich,41.74,-70.43
55,Easthampton Town city,42.27,-72.67
56,Essex,42.63,-70.77
57,Everett city,42.41,-71.05
58,Fall River city,41.71,-71.1
59,Falmouth,41.55,-70.61
